lecrae,SoAmariee,kindness,,7
TimBurt,MunoMatt,kindness,,7
lecrae,SoAmariee,kindness,,7
AaronCarpenter,NeaSlay,excited,,6
donghyuksgirl,kibumuffin,blessed,,4
angelaksgiles,DavidMendiolaP,kindness,,7
FFXVEN,Bobbyman0330,patience,,11
lecrae,jmegan365,kindness,,7
macthekillerr,_Monicax_,excited,,6
lecrae,caleb3232,kindness,,7
aldubglobalnyc,itsmeaileent,blessed,,4
Harry_Styles,navaehsamone,glad,,3
hxnlxne,asianxprincess,excited,,6
AaronCarpenter,HoranCazarez,excited,,6
Gurmeetramrahim,Amitinsan4,joy,,1
bigshitxtalker,Donqua_,excited,,6
grantgust,adeusbilauta,excited,,6
grantgust,adeusbilauta,excited,,6
ksushma140,pawanwatts21,blessed,,4
beequammie,DREWDIAMOND32,joy,beequammie,1
WeLuvAllyB,edgarkarla,glad,AllyBrooke,3
lopezzclarissa,YoussefAlsaad9,excited,,6
DuncanWhitehead,bdcbrandan,excited,,6
Drake,edeenn6,understanding,,10
k_driggs,_maddiesquires,blessed,,4
